catalogId,movieName,genre,rarity,cityUnlock,sagaId,sagaOrder,isLegendary,posterFile,tagline
Action_Convoy_Seven,Convoy Seven,Action,Common,1,,0,0,ConvoySeven.png,Seventh convoy through the deadliest road on earth.
Action_Crash_Vector,Crash Vector,Action,Common,1,,0,0,CrashVector.png,A pilot must land a failing jet in hostile territory.
Action_Crossfire_Alley,Crossfire Alley,Action,Common,1,,0,0,CrossfireAlley.png,Every alley is an ambush waiting to happen.
Action_Extraction_Point,Extraction Point,Action,Common,1,,0,0,ExtractionPoint.png,Get them out before the perimeter collapses.
Action_Final_Vector,Final Vector,Action,Common,1,,0,0,FinalVector.png,Intercept the missile or lose a capital.
Action_Fireline,Fireline,Action,Common,1,,0,0,Fireline.png,Firefighters battle flames and a hidden conspiracy.
Action_Frontline_Echo,Frontline Echo,Action,Common,1,,0,0,FrontlineEcho.png,Veterans return to the only war that still matters.
Action_Ghost_Company,Ghost Company,Action,Common,1,,0,0,GhostCompany.png,A unit erased from every roster except the enemy's.
Action_Hammer_Strike,Hammer Strike,Action,Common,1,,0,0,HammerStrike.png,A blunt force operation with surgical precision.
Action_Hardline_Justice,Hardline Justice,Action,Common,1,,0,0,HardlineJustice.png,A cop crosses every line to stop a syndicate.
Action_Hostile_Air,Hostile Air,Action,Common,1,,0,0,HostileAir.png,Friendly skies turn hostile in seconds.
Action_Iron_Gate,Iron Gate,Action,Common,1,,0,0,IronGate.png,Storm the gate or lose the hostages.
Action_Last_Stand_Bridge,Last Stand Bridge,Action,Common,1,,0,0,LastStandBridge.png,Hold the bridge until reinforcements arrive.
Action_Midnight_Extraction,Midnight Extraction,Action,Common,1,,0,0,MidnightExtraction.png,A hostage rescue with no extraction window.
Action_Night_Raid,Night Raid,Action,Common,1,,0,0,NightRaid.png,Special forces enter a fortress in darkness.
Action_Outrider,Outrider,Action,Common,1,,0,0,Outrider.png,One scout against an advancing army.
Action_Overwatch_Down,Overwatch Down,Action,Common,1,,0,0,OverwatchDown.png,A sniper team loses eyes in the sky.
Action_Pressure_Point,Pressure Point,Action,Common,1,,0,0,PressurePoint.png,One warehouse. One bomb. One chance.
