catalogId,displayName,genre,rarity,sagaId,sagaOrder,isLegendary,assetPath,assetGuid,posterColorHex,tagline
Action_Alianza_Imposible,Alianza Imposible,Action,Common,,0,0,Assets/Data/Movies/Action_Alianza_Imposible.asset,e8b970b3a3448c9449a4b0d61678b4b1,#C0392B,Enemigos que deben unirse para sobrevivir.
Action_Amanecer_de_Hierro,Amanecer de Hierro,Action,Common,,0,0,Assets/Data/Movies/Action_Amanecer_de_Hierro.asset,a1a1e4fadd38f7e4c8b6b8e050284031,#E74C3C,El mundo al borde del abismo.
Action_Catastrofe_Total,Catástrofe Total,Action,Common,,0,0,Assets/Data/Movies/Action_Catastrofe_Total.asset,a64c87d5742b25246ad38e46ff86e299,#C0392B,El fin de la era.
Action_Cazador_Implacable,Cazador Implacable,Action,Common,,0,0,Assets/Data/Movies/Action_Cazador_Implacable.asset,931a37f01e204e841bbea85b132f1117,#C0392B,Un cazador que nunca abandona la presa.
Action_Cazadores_de_Sombras,Cazadores de Sombras,Action,Common,shadow_trigger,2,0,Assets/Data/Movies/Action_Cazadores_de_Sombras.asset,bdc49cf1a93487145bef86922d559dfb,#C0392B,Élite vs. red criminal invisible.
Action_Colision_de_Mundos,Colisión de Mundos,Action,Common,,0,0,Assets/Data/Movies/Action_Colision_de_Mundos.asset,f07cf569e4da6f24cbfa67c74e859953,#E74C3C,Cuando dos fuerzas igualadas choquan.
Action_Codigo_Rojo,Código Rojo,Action,Common,,0,0,Assets/Data/Movies/Action_Codigo_Rojo.asset,c5b16ecf7a225ee4c8f0d8367312aed8,#E74C3C,La ciudad entera como campo de batalla.
Action_Destino_Marcado,Destino Marcado,Action,Common,,0,0,Assets/Data/Movies/Action_Destino_Marcado.asset,b77c4ce750d640c40b4052e6417cab87,#C0392B,No hay escapatoria del destino.
Action_El_Infiltrado,El Infiltrado,Action,Common,,0,0,Assets/Data/Movies/Action_El_Infiltrado.asset,0853fa51c0cce334c84b28761cb18517,#E74C3C,Vivir bajo identidad falsa.
Action_El_Precio_del_Honor,El Precio del Honor,Action,Common,,0,0,Assets/Data/Movies/Action_El_Precio_del_Honor.asset,13cf0d88d1585594eadfb46ac07957df,#E74C3C,Honor es lo único que queda.
Action_El_Último_Bastion,El Último Bastión,Action,Common,,0,0,Assets/Data/Movies/Action_El_Último_Bastion.asset,1e5af1cce2020ee42a9ef06d1107af3c,#C0392B,Defender lo que queda del mundo civilizado.
Action_Fuego_Cruzado,Fuego Cruzado,Action,Common,,0,0,Assets/Data/Movies/Action_Fuego_Cruzado.asset,915967732b4939e44a1da27af3e492d8,#C0392B,Los aliados de hoy son los enemigos de mañana.
Action_Fuga_Nocturna,Fuga Nocturna,Action,Common,,0,0,Assets/Data/Movies/Action_Fuga_Nocturna.asset,a92bbbeb9aa01ce459aebd1b1bbdc9da,#E74C3C,Dos horas para escapar de la ciudad.
Action_Golpe_Final,Golpe Final,Action,Common,,0,0,Assets/Data/Movies/Action_Golpe_Final.asset,df3ab39769c09ef45b5822b16ad39ff9,#E74C3C,Un atraco que cambiará todo.
Action_Impacto_Directo,Impacto Directo,Action,Common,,0,0,Assets/Data/Movies/Action_Impacto_Directo.asset,a76458239c76af648a4435bc59ab0c5e,#C0392B,Nada puede detener la misión.
Action_Imperativo_de_Guerra,Imperativo de Guerra,Action,Common,,0,0,Assets/Data/Movies/Action_Imperativo_de_Guerra.asset,7d40cb70e6b5d3040b5bd757080b2151,#C0392B,La batalla definitiva de la humanidad.
Action_La_Gran_Ofensiva,La Gran Ofensiva,Action,Common,,0,0,Assets/Data/Movies/Action_La_Gran_Ofensiva.asset,c08cf65292c58d74693c382768a460c9,#C0392B,La operación más ambiciosa jamás planeada.
Action_La_Linea_Roja,La Línea Roja,Action,Common,,0,0,Assets/Data/Movies/Action_La_Linea_Roja.asset,675ca5118086be143a8af6b3ccf69063,#E74C3C,Cuando cruzar la línea es lo correcto.
Action_La_Última_Frontera,La Última Frontera,Action,Common,,0,0,Assets/Data/Movies/Action_La_Última_Frontera.asset,ad10b9cbb4a4de942b8550897733614d,#C0392B,Más allá de toda frontera conocida.
Action_Legado_Belico,Legado Bélico,Action,Common,,0,0,Assets/Data/Movies/Action_Legado_Belico.asset,4379fd6000c924240b9c5de57679b690,#E74C3C,La guerra que definió generaciones.
Action_Operacion_Tormenta,Operación Tormenta,Action,Common,,0,0,Assets/Data/Movies/Action_Operacion_Tormenta.asset,c2cd134e0d3b0d640b2cb6c9feb97d4b,#E74C3C,Un equipo de élite contra una amenaza global.
Action_Persecucion_en_la_Ciudad,Persecución en la Ciudad,Action,Common,,0,0,Assets/Data/Movies/Action_Persecucion_en_la_Ciudad.asset,a573b9cf96970f14caea39a232c9d34c,#E74C3C,"Cuando el crimen toma las calles, un detective solitario actúa."
Action_Punto_de_Ruptura,Punto de Ruptura,Action,Common,,0,0,Assets/Data/Movies/Action_Punto_de_Ruptura.asset,a3f54a30b04bf694b907dffbb65b17d5,#E74C3C,Todo o nada.
Action_Rescate_al_Limite,Rescate al Límite,Action,Common,,0,0,Assets/Data/Movies/Action_Rescate_al_Limite.asset,66e3af27156dafc45a437ba03c63ba3b,#E74C3C,Una misión de rescate que pondrá a prueba todo.
Action_Retribucion,Retribución,Action,Common,,0,0,Assets/Data/Movies/Action_Retribucion.asset,a18bd18b4d1f9b840820121c29c6b814,#E74C3C,Justicia fuera del sistema.
Action_Sin_Regreso,Sin Regreso,Action,Common,last_signal,1,0,Assets/Data/Movies/Action_Sin_Regreso.asset,bf620e79894e6f046aaf9641f1de3661,#E74C3C,Una misión sin vuelta atrás.
Action_Tormenta_de_Acero,Tormenta de Acero,Action,Common,,0,0,Assets/Data/Movies/Action_Tormenta_de_Acero.asset,0f6233676db3da3468b2815f5996cca2,#C0392B,Una guerra que nadie ganará.
Action_Velocidad_Extrema,Velocidad Extrema,Action,Common,,0,0,Assets/Data/Movies/Action_Velocidad_Extrema.asset,6d3a5e4e27cb46b4c8554681170a3d1c,#C0392B,La velocidad como arma.
Action_Zona_de_Exclusion,Zona de Exclusión,Action,Common,,0,0,Assets/Data/Movies/Action_Zona_de_Exclusion.asset,a5ece24220536f042bd9d2b1ca93aec1,#E74C3C,Penetrar en territorio prohibido.
Action_Élite_Absoluta,Élite Absoluta,Action,Common,,0,0,Assets/Data/Movies/Action_Élite_Absoluta.asset,a36c7edae38e9344097b1f7999bb65b9,#E74C3C,Solo los mejores sobreviven.
SciFi_Algoritmo,Algoritmo,SciFi,Common,,0,0,Assets/Data/Movies/SciFi_Algoritmo.asset,447880f03d142ea4ebbf9bdcef1379cc,#27AE60,La IA que se volvió más inteligente que sus creadores.
SciFi_Ano_2199,Año 2199,SciFi,Common,,0,0,Assets/Data/Movies/SciFi_Ano_2199.asset,a8c9e60ca17ca9b4898e9be599d9a972,#27AE60,El futuro tiene sus propios problemas.
SciFi_Codigo_de_Vida,Código de Vida,SciFi,Common,,0,0,Assets/Data/Movies/SciFi_Codigo_de_Vida.asset,8ff2116afb8d0f848b6e2cbf09b9e137,#27AE60,Reescribir el ADN humano.
SciFi_Dominacion,Dominación,SciFi,Common,iron_circuit,4,0,Assets/Data/Movies/SciFi_Dominacion.asset,47a5f7fbb17953a4bbea0b6975ba9d9e,#1ABC9C,La conquista del espacio como destino humano.
SciFi_Dominio_Cosmico,Dominio Cósmico,SciFi,Common,iron_circuit,5,0,Assets/Data/Movies/SciFi_Dominio_Cosmico.asset,dd58d25df5b5c9c4588ca1b287ecddce,#1ABC9C,Controlar el cosmos entero.
SciFi_El_Codigo_Estelar,El Código Estelar,SciFi,Common,,0,0,Assets/Data/Movies/SciFi_El_Codigo_Estelar.asset,1001f9635afcc4241855c33bc8b31705,#1ABC9C,Un mensaje oculto en las estrellas.
SciFi_El_Proyecto_Arca,El Proyecto Arca,SciFi,Common,neon_drift,2,0,Assets/Data/Movies/SciFi_El_Proyecto_Arca.asset,e5ccc11f5f475c841bbfcd033583405c,#27AE60,Construir la última nave antes del fin.
SciFi_El_Tiempo_No_Perdona,El Tiempo No Perdona,SciFi,Common,,0,0,Assets/Data/Movies/SciFi_El_Tiempo_No_Perdona.asset,e075ba9f5e1ffab4aa0b9648b8b35015,#1ABC9C,Un viajero del tiempo que no puede parar.
SciFi_El_Último_Android,El Último Android,SciFi,Common,,0,0,Assets/Data/Movies/SciFi_El_Último_Android.asset,46c3ec31ef22ab5449d25b360f9fe10f,#1ABC9C,Una máquina que aprendió a sentir.
SciFi_Frontera_Cuantica,Frontera Cuántica,SciFi,Common,,0,0,Assets/Data/Movies/SciFi_Frontera_Cuantica.asset,14b5650a1c3be704a9c8666cd1331c9f,#1ABC9C,La física es solo la primera barrera.
SciFi_Genesis_II,Génesis II,SciFi,Common,,0,0,Assets/Data/Movies/SciFi_Genesis_II.asset,6b424a979d70507478a8d27af24cd65c,#27AE60,Recrear la vida desde cero.
SciFi_Genesis_Universal,Génesis Universal,SciFi,Common,,0,0,Assets/Data/Movies/SciFi_Genesis_Universal.asset,b15ad32c9c73d294b90daebe208da3bf,#1ABC9C,"El origen del universo, revelado."
SciFi_Invasion_Silenciosa,Invasión Silenciosa,SciFi,Common,,0,0,Assets/Data/Movies/SciFi_Invasion_Silenciosa.asset,234a7b42eca84754a82ca87f6b47a6c0,#1ABC9C,No sabes que están aquí... hasta que es tarde.
SciFi_La_Anomalia,La Anomalía,SciFi,Common,,0,0,Assets/Data/Movies/SciFi_La_Anomalia.asset,390d7f45398c02644923adefd7c952e8,#27AE60,Una anomalía que rompe las leyes de la física.
SciFi_La_Colonia,La Colonia,SciFi,Common,,0,0,Assets/Data/Movies/SciFi_La_Colonia.asset,f7ed4724f08aa1b4fb81c7ddad9dbf97,#1ABC9C,Sobrevivir en un planeta hostil.
SciFi_La_Ecuacion_Final,La Ecuación Final,SciFi,Common,,0,0,Assets/Data/Movies/SciFi_La_Ecuacion_Final.asset,7aa3d96b79826b14c874e7ab0537b7ea,#27AE60,La teoría que lo explica todo.
SciFi_La_Gran_Migracion,La Gran Migración,SciFi,Common,,0,0,Assets/Data/Movies/SciFi_La_Gran_Migracion.asset,278e155e9bc381b409d4263eef96c695,#27AE60,Abandonar la Tierra para siempre.
SciFi_La_Senal,La Señal,SciFi,Common,,0,0,Assets/Data/Movies/SciFi_La_Senal.asset,0bcdfe399760ec24b9c317cb48476f03,#27AE60,Una señal del espacio cambia todo.
SciFi_La_Última_Galaxia,La Última Galaxia,SciFi,Common,,0,0,Assets/Data/Movies/SciFi_La_Última_Galaxia.asset,f2479db47b19d2048b6b869be79b1a00,#1ABC9C,Explorar los confines del universo conocido.
SciFi_Los_Inmortales,Los Inmortales,SciFi,Common,,0,0,Assets/Data/Movies/SciFi_Los_Inmortales.asset,cbbbf3b03e3880944b4566926f2c4bdb,#1ABC9C,¿Qué pasa cuando no puedes morir?
SciFi_Mente_Colmena,Mente Colmena,SciFi,Common,,0,0,Assets/Data/Movies/SciFi_Mente_Colmena.asset,ff2f6714f0fc7a24fac50e8110df6826,#27AE60,Una conciencia compartida por millones.
SciFi_Mundo_Espejo,Mundo Espejo,SciFi,Common,,0,0,Assets/Data/Movies/SciFi_Mundo_Espejo.asset,3eaf725c7302be14794ee7aa853e769c,#1ABC9C,Descubrir que tu mundo es una simulación.
