catalogId,displayName,genre,rarity,sagaId,sagaOrder,isLegendary,posterColorHex,tagline,slotReserved
Action_Slot_01,Alianza Imposible,Action,Common,,0,0,#C0392B,Enemigos que deben unirse para sobrevivir.,0
Action_Slot_02,Amanecer de Hierro,Action,Common,,0,0,#E74C3C,El mundo al borde del abismo.,0
Action_Slot_03,Catástrofe Total,Action,Common,,0,0,#C0392B,El fin de la era.,0
Action_Slot_04,Cazador Implacable,Action,Common,,0,0,#C0392B,Un cazador que nunca abandona la presa.,0
Action_Slot_05,Cazadores de Sombras,Action,Common,shadow_trigger,2,0,#C0392B,Élite vs. red criminal invisible.,0
Action_Slot_06,Código Rojo,Action,Common,,0,0,#E74C3C,La ciudad entera como campo de batalla.,0
Action_Slot_07,Colisión de Mundos,Action,Common,,0,0,#E74C3C,Cuando dos fuerzas igualadas choquan.,0
Action_Slot_08,Destino Marcado,Action,Common,,0,0,#C0392B,No hay escapatoria del destino.,0
Action_Slot_09,El Infiltrado,Action,Common,,0,0,#E74C3C,Vivir bajo identidad falsa.,0
Action_Slot_10,El Precio del Honor,Action,Common,,0,0,#E74C3C,Honor es lo único que queda.,0
Action_Slot_11,El Último Bastión,Action,Common,,0,0,#C0392B,Defender lo que queda del mundo civilizado.,0
Action_Slot_12,Fuego Cruzado,Action,Common,,0,0,#C0392B,Los aliados de hoy son los enemigos de mañana.,0
Action_Slot_13,Fuga Nocturna,Action,Common,,0,0,#E74C3C,Dos horas para escapar de la ciudad.,0
Action_Slot_14,Golpe Final,Action,Common,,0,0,#E74C3C,Un atraco que cambiará todo.,0
Action_Slot_15,Impacto Directo,Action,Common,,0,0,#C0392B,Nada puede detener la misión.,0
Action_Slot_16,Imperativo de Guerra,Action,Common,,0,0,#C0392B,La batalla definitiva de la humanidad.,0
Action_Slot_17,La Gran Ofensiva,Action,Common,,0,0,#C0392B,La operación más ambiciosa jamás planeada.,0
Action_Slot_18,La Línea Roja,Action,Common,,0,0,#E74C3C,Cuando cruzar la línea es lo correcto.,0
Action_Slot_19,La Última Frontera,Action,Common,,0,0,#C0392B,Más allá de toda frontera conocida.,0
Action_Slot_20,Legado Bélico,Action,Common,,0,0,#E74C3C,La guerra que definió generaciones.,0
Action_Slot_21,Operación Tormenta,Action,Common,,0,0,#E74C3C,Un equipo de élite contra una amenaza global.,0
Action_Slot_22,Persecución en la Ciudad,Action,Common,,0,0,#E74C3C,"Cuando el crimen toma las calles, un detective solitario actúa.",0
Action_Slot_23,Punto de Ruptura,Action,Common,,0,0,#E74C3C,Todo o nada.,0
Action_Slot_24,Rescate al Límite,Action,Common,,0,0,#E74C3C,Una misión de rescate que pondrá a prueba todo.,0
Action_Slot_25,Retribución,Action,Common,,0,0,#E74C3C,Justicia fuera del sistema.,0
Action_Slot_26,Sin Regreso,Action,Common,last_signal,1,0,#E74C3C,Una misión sin vuelta atrás.,0
Action_Slot_27,Tormenta de Acero,Action,Common,,0,0,#C0392B,Una guerra que nadie ganará.,0
Action_Slot_28,Velocidad Extrema,Action,Common,,0,0,#C0392B,La velocidad como arma.,0
Action_Slot_29,Zona de Exclusión,Action,Common,,0,0,#E74C3C,Penetrar en territorio prohibido.,0
Action_Legendary,[TBD Legendary Action],Action,Legendary,,0,1,#E74C3C,[CATALOG SLOT],1
SciFi_Slot_01,Algoritmo,SciFi,Common,,0,0,#27AE60,La IA que se volvió más inteligente que sus creadores.,0
SciFi_Slot_02,Año 2199,SciFi,Common,,0,0,#27AE60,El futuro tiene sus propios problemas.,0
SciFi_Slot_03,Código de Vida,SciFi,Common,,0,0,#27AE60,Reescribir el ADN humano.,0
SciFi_Slot_04,Dominación,SciFi,Common,iron_circuit,4,0,#1ABC9C,La conquista del espacio como destino humano.,0
SciFi_Slot_05,Dominio Cósmico,SciFi,Common,iron_circuit,5,0,#1ABC9C,Controlar el cosmos entero.,0
SciFi_Slot_06,El Código Estelar,SciFi,Common,,0,0,#1ABC9C,Un mensaje oculto en las estrellas.,0
SciFi_Slot_07,El Proyecto Arca,SciFi,Common,neon_drift,2,0,#27AE60,Construir la última nave antes del fin.,0
SciFi_Slot_08,El Tiempo No Perdona,SciFi,Common,,0,0,#1ABC9C,Un viajero del tiempo que no puede parar.,0
SciFi_Slot_09,El Último Android,SciFi,Common,,0,0,#1ABC9C,Una máquina que aprendió a sentir.,0
SciFi_Slot_10,Frontera Cuántica,SciFi,Common,,0,0,#1ABC9C,La física es solo la primera barrera.,0
SciFi_Slot_11,Génesis II,SciFi,Common,,0,0,#27AE60,Recrear la vida desde cero.,0
SciFi_Slot_12,Génesis Universal,SciFi,Common,,0,0,#1ABC9C,"El origen del universo, revelado.",0
SciFi_Slot_13,Invasión Silenciosa,SciFi,Common,,0,0,#1ABC9C,No sabes que están aquí... hasta que es tarde.,0
SciFi_Slot_14,La Anomalía,SciFi,Common,,0,0,#27AE60,Una anomalía que rompe las leyes de la física.,0
SciFi_Slot_15,La Colonia,SciFi,Common,,0,0,#1ABC9C,Sobrevivir en un planeta hostil.,0
SciFi_Slot_16,La Ecuación Final,SciFi,Common,,0,0,#27AE60,La teoría que lo explica todo.,0
SciFi_Slot_17,La Gran Migración,SciFi,Common,,0,0,#27AE60,Abandonar la Tierra para siempre.,0
SciFi_Slot_18,La Señal,SciFi,Common,,0,0,#27AE60,Una señal del espacio cambia todo.,0
SciFi_Slot_19,La Última Galaxia,SciFi,Common,,0,0,#1ABC9C,Explorar los confines del universo conocido.,0
SciFi_Slot_20,Los Inmortales,SciFi,Common,,0,0,#1ABC9C,¿Qué pasa cuando no puedes morir?,0
SciFi_Slot_21,Mente Colmena,SciFi,Common,,0,0,#27AE60,Una conciencia compartida por millones.,0
SciFi_Slot_22,Mundo Espejo,SciFi,Common,,0,0,#1ABC9C,Descubrir que tu mundo es una simulación.,0
SciFi_Slot_23,Nexo,SciFi,Common,,0,0,#27AE60,La conexión entre dimensiones paralelas.,0
SciFi_Slot_24,Paradoja,SciFi,Common,,0,0,#1ABC9C,Cambiar el pasado rompe el futuro.,0
SciFi_Slot_25,Planeta Virgen,SciFi,Common,,0,0,#27AE60,El primer planeta habitable encontrado.,0
SciFi_Slot_26,Protocolo Omega,SciFi,Common,,0,0,#1ABC9C,Un protocolo que no debía activarse.,0
SciFi_Slot_27,Rebelde Digital,SciFi,Common,,0,0,#1ABC9C,Un hacker que lucha contra el sistema global.,0
SciFi_Slot_28,Singularidad,SciFi,Common,,0,0,#27AE60,El momento en que la máquina supera al humano.,0
SciFi_Slot_29,Transferencia Mental,SciFi,Common,,0,0,#27AE60,¿Qué eres sin tu memoria?,0
SciFi_Legendary,[TBD Legendary SciFi],SciFi,Legendary,,0,1,#1ABC9C,[CATALOG SLOT],1
Drama_Slot_01,Años de Plomo,Drama,Common,,0,0,#2980B9,Crecer en tiempos difíciles.,0
Drama_Slot_02,Cartas sin Respuesta,Drama,Common,,0,0,#3498DB,Una historia de amor que no puede ser.,0
Drama_Slot_03,Cenizas de Verano,Drama,Common,,0,0,#2980B9,Un verano que lo cambió todo.,0
Drama_Slot_04,Confesiones,Drama,Common,,0,0,#2980B9,Decir la verdad siempre tiene consecuencias.,0
Drama_Slot_05,Deuda de Sangre,Drama,Common,,0,0,#3498DB,Una deuda que se paga con el tiempo.,0
Drama_Slot_06,El Círculo,Drama,Common,iron_circuit,6,0,#2980B9,"La historia se repite, generación tras generación.",0
Drama_Slot_07,El Fotógrafo,Drama,Common,,0,0,#2980B9,Capturar la belleza del dolor.,0
Drama_Slot_08,El Nombre del Padre,Drama,Common,,0,0,#2980B9,Buscar al padre que nunca estuvo.,0
Drama_Slot_09,El Peso del Silencio,Drama,Common,,0,0,#3498DB,Lo que no se dice destruye más que las palabras.,0
Drama_Slot_10,El Poeta Olvidado,Drama,Common,,0,0,#2980B9,Rescatar la obra de un genio incomprendido.,0
Drama_Slot_11,El Último Cuadro,Drama,Common,,0,0,#2980B9,Pintar la obra maestra antes de morir.,0
Drama_Slot_12,Espejo Roto,Drama,Common,,0,0,#3498DB,Reconstruirse después de la traición.,0
Drama_Slot_13,Generaciones,Drama,Common,,0,0,#3498DB,Cien años de historia familiar.,0
Drama_Slot_14,Invierno Eterno,Drama,Common,,0,0,#2980B9,Un frío que dura más que el invierno.,0
Drama_Slot_15,La Dignidad,Drama,Common,,0,0,#2980B9,Mantener la dignidad cuando todo se derrumba.,0
Drama_Slot_16,La Gran Ilusión,Drama,Common,,0,0,#3498DB,Un sueño demasiado grande para ser real.,0
Drama_Slot_17,La Herencia,Drama,Common,,0,0,#3498DB,Una familia divida por el dinero.,0
Drama_Slot_18,La Mujer del Puerto,Drama,Common,,0,0,#2980B9,Esperar al amor durante treinta años.,0
Drama_Slot_19,La Promesa,Drama,Common,,0,0,#3498DB,Una promesa que atraviesa décadas.,0
Drama_Slot_20,La Última Cena,Drama,Common,,0,0,#3498DB,Una familia que se despide.,0
Drama_Slot_21,Lo Que Quedó,Drama,Common,,0,0,#3498DB,Los objetos guardan la memoria de sus dueños.,0
Drama_Slot_22,Mar de Fondo,Drama,Common,iron_circuit,3,0,#3498DB,Lo que viene de lo profundo no se puede ignorar.,0
Drama_Slot_23,Marea Alta,Drama,Common,,0,0,#3498DB,"Una ciudad inundada, un amor que resiste.",0
Drama_Slot_24,Puentes de Papel,Drama,Common,,0,0,#2980B9,Las palabras que construyen y destruyen.,0
