RecordType,catalogId,movieName,genre,posterFile,status,detail
Premium,Action_Aftershock,Night Convoy,Action,NightConvoy.png,OK,
Premium,Action_Blackout_Run,Operation Coldfire,Action,OperationColdfire.png,OK,
Premium,Action_Borderline,Silent Extraction,Action,SilentExtraction.png,OK,
Premium,Action_Breacher_Unit,The Last Dominion,Action,TheLastDominion.png,OK,
Premium,Action_Collateral_Run,Zero Contact,Action,ZeroContact.png,OK,
Premium,Action_Steel_Rain,Steel Rain,Action,SteelRain.png,OK,
Premium,Action_Broken_Protocol,Beyond The Frontier,Action,BeyondTheFrontier.png,OK,
Premium,Action_Frontline_Ghost,Black Horizon,Action,BlackHorizon.png,OK,
Premium,Action_Iron_Descent,Broken Siege,Action,BrokenSiege.png,OK,
Premium,Action_Nightfall_Protocol,Crimson Border,Action,CrimsonBorder.png,OK,
Premium,Action_Steel_Horizon,Dead Frequency,Action,DeadFrequency.png,OK,
Premium,Action_Urban_Siege,Empire Of Ashes,Action,EmpireOfAshes.png,OK,
Premium,Action_Warpath,Ghost Battalion,Action,GhostBattalion.png,OK,
Premium,Action_Zero_Hour_Convoy,Kingdom Of Dust,Action,KingdomOfDust.png,OK,
Premium,Action_Legendary,Iron Wolves,Action,IronWolves.png,OK,
Premium,Animation_Bubble_City,The Moonlight Bakery,Animation,TheMoonlightBakery.png,OK,
Premium,Animation_Cloud_Riders,The Ocean Beyond Maps,Animation,TheOceanBeyondMaps.png,OK,
Premium,Animation_Dragon_s_Lunchbox,A Thousand Fireflies,Animation,AThousandFireflies.png,OK,
Premium,Animation_Moonlight_Mice,The Secret Treehouse,Animation,TheSecretTreehouse.png,OK,
Premium,Animation_Robot_Best_Friend,Beyond Maple Hill,Animation,BeyondMapleHill.png,OK,
Premium,Animation_Sky_Garden,Captain Acorn,Animation,CaptainAcorn.png,OK,
Premium,Animation_The_Clockwork_Fox,The Clockwork Fox,Animation,TheClockworkFox.png,OK,
Premium,Animation_Whisper_Woods,Oliver And The Sky Whale,Animation,OliverAndTheSkyWhale.png,OK,
Premium,Animation_Legendary,Little Giants,Animation,LittleGiants.png,OK,
Premium,Animation_Starlight_Parade,The Flying Orchard,Animation,TheFlyingOrchard.png,OK,
Premium,Animation_The_Singing_Stone,The Lantern Parade,Animation,TheLanternParade.png,OK,
Premium,Animation_Tiny_Voyagers,The Lost Balloon,Animation,TheLostBalloon.png,OK,
Premium,Comedy_Accidental_Guru,Welcome To Dis A Ster,Comedy,WelcomeToDisASter.png,OK,
Premium,Comedy_Room_for_Error,City H A Lldis A Ster,Comedy,CityHALldisASter.png,OK,
Premium,Comedy_Uncle_Gary_IV,F A Milyemergency,Comedy,FAMilyemergency.png,OK,
Premium,Comedy_Accidental_Hero,L At E A G A In,Comedy,LAtEAGAIn.png,OK,
Premium,Comedy_Double_Booked,M On Day Morn In G,Comedy,MOnDayMornInG.png,OK,
Premium,Comedy_Improv_Nation,The Last Day Of F,Comedy,TheLastDayOfF.png,OK,
Premium,Comedy_Pizza_Tribunal,The Newneighbors,Comedy,TheNewneighbors.png,OK,
Premium,Comedy_Side_Gig,The Wr On Gwedd In G,Comedy,TheWrOnGweddInG.png,OK,
Premium,Comedy_The_Great_Mix_Up,The Gre At Mix-Up,Comedy,TheGreatMixUp.png,OK,
Premium,Comedy_Uncle_Gary_VI,The Ye A Reveryth In Gbroke,Comedy,TheYeAReverythInGbroke.png,OK,
Premium,Comedy_Uncle_Gary_VII,Uncleg A Ry'Spl An,Comedy,UnclegARySplAn.png,OK,
Premium,Comedy_Uncle_Gary_VIII,Welcome Home Steve,Comedy,WelcomeHomeSteve.png,OK,
Premium,Comedy_Legendary,Detective Potato,Comedy,DetectivePotato.png,OK,
Premium,Action_Velocity_Kill,Wild Horizons,Documentary,WildHorizons.png,OK,
Premium,Documentary_Border_Seeds,Beneath the Ice,Documentary,BeneaththeIce.png,OK,
Premium,Documentary_City_of_Light,Giants Of The Deep,Documentary,GiantsOfTheDeep.png,OK,
Premium,Documentary_Hidden_Rivers,Hidden Rivers,Documentary,HiddenRivers.png,OK,
Premium,Documentary_Legendary,Voices of the Deep,Documentary,voiceofthedeep.png,OK,
Premium,Documentary_Steel_and_Song,Life Above the Clouds,Documentary,LifeAbovetheClouds.png,OK,
